Voltage : 11.92 V | Pitch angle : 58.00° | Yaw angle : -8.75° | Pitch_current : 8.24 A | Yaw_current : 5.77 A
Voltage : 11.32 V | Pitch angle : 58.25° | Yaw angle : -8.50° | Pitch_current : 9.77 A | Yaw_current : 6.07 A
Voltage : 10.73 V | Pitch angle : 58.75° | Yaw angle : -8.25° | Pitch_current : 8.83 A | Yaw_current : 8.52 A
Voltage : 13.26 V | Pitch angle : 59.00° | Yaw angle : -8.25° | Pitch_current : 1.17 A | Yaw_current : 9.02 A
Voltage : 13.47 V | Pitch angle : 59.00° | Yaw angle : -8.00° | Pitch_current : 1.20 A | Yaw_current : 8.27 A
Voltage : 11.70 V | Pitch angle : 59.00° | Yaw angle : -7.50° | Pitch_current : 2.90 A | Yaw_current : 8.03 A
Voltage : 12.23 V | Pitch angle : 58.75° | Yaw angle : -6.75° | Pitch_current : 3.72 A | Yaw_current : 6.38 A
Voltage : 11.90 V | Pitch angle : 58.75° | Yaw angle : -6.00° | Pitch_current : 6.70 A | Yaw_current : 6.43 A
Voltage : 12.73 V | Pitch angle : 58.75° | Yaw angle : -5.50° | Pitch_current : 6.24 A | Yaw_current : 6.99 A
Voltage : 13.09 V | Pitch angle : 59.00° | Yaw angle : -5.00° | Pitch_current : 4.71 A | Yaw_current : 6.61 A
Voltage : 12.86 V | Pitch angle : 59.00° | Yaw angle : -4.75° | Pitch_current : 4.78 A | Yaw_current : 7.02 A
Voltage : 13.67 V | Pitch angle : 58.75° | Yaw angle : -4.50° | Pitch_current : 2.99 A | Yaw_current : 6.27 A
Voltage : 13.82 V | Pitch angle : 58.75° | Yaw angle : -4.50° | Pitch_current : 3.03 A | Yaw_current : 4.81 A
Voltage : 12.73 V | Pitch angle : 58.75° | Yaw angle : -4.25° | Pitch_current : 7.31 A | Yaw_current : 4.77 A
Voltage : 12.35 V | Pitch angle : 59.00° | Yaw angle : -4.50° | Pitch_current : 6.82 A | Yaw_current : 6.41 A
