Voltage : 13.44 V | Pitch angle : 59.00° | Yaw angle : 0.75° | Pitch_current : 1.36 A | Yaw_current : 2.61 A
Voltage : 10.18 V | Pitch angle : 58.00° | Yaw angle : 1.50° | Pitch_current : 13.44 A | Yaw_current : 2.35 A
Voltage : 8.08 V | Pitch angle : 57.50° | Yaw angle : 1.50° | Pitch_current : 12.30 A | Yaw_current : 2.45 A
Voltage : 8.83 V | Pitch angle : 58.00° | Yaw angle : 0.75° | Pitch_current : 11.35 A | Yaw_current : 2.37 A
Voltage : 9.57 V | Pitch angle : 59.25° | Yaw angle : -0.25° | Pitch_current : 11.23 A | Yaw_current : 3.99 A
Voltage : 13.54 V | Pitch angle : 61.50° | Yaw angle : -1.75° | Pitch_current : 1.17 A | Yaw_current : 4.87 A
Voltage : 13.59 V | Pitch angle : 63.50° | Yaw angle : -3.25° | Pitch_current : 1.27 A | Yaw_current : 4.96 A
Voltage : 13.39 V | Pitch angle : 64.25° | Yaw angle : -4.50° | Pitch_current : 1.35 A | Yaw_current : 5.62 A
Voltage : 13.29 V | Pitch angle : 64.00° | Yaw angle : -5.25° | Pitch_current : 1.23 A | Yaw_current : 5.56 A
Voltage : 13.16 V | Pitch angle : 63.50° | Yaw angle : -5.50° | Pitch_current : 1.22 A | Yaw_current : 6.07 A
Voltage : 12.30 V | Pitch angle : 62.75° | Yaw angle : -5.75° | Pitch_current : 1.76 A | Yaw_current : 2.96 A
Voltage : 8.08 V | Pitch angle : 61.50° | Yaw angle : -5.50° | Pitch_current : 12.77 A | Yaw_current : 3.63 A
Voltage : 10.00 V | Pitch angle : 61.25° | Yaw angle : -5.75° | Pitch_current : 11.59 A | Yaw_current : 4.30 A
Voltage : 8.83 V | Pitch angle : 61.75° | Yaw angle : -6.25° | Pitch_current : 11.08 A | Yaw_current : 4.87 A
Voltage : 9.32 V | Pitch angle : 62.75° | Yaw angle : -7.25° | Pitch_current : 10.65 A | Yaw_current : 8.08 A
Voltage : 11.85 V | Pitch angle : 64.25° | Yaw angle : -8.50° | Pitch_current : 1.05 A | Yaw_current : 8.71 A
Voltage : 11.97 V | Pitch angle : 65.00° | Yaw angle : -9.50° | Pitch_current : 1.13 A | Yaw_current : 8.84 A
Voltage : 12.13 V | Pitch angle : 65.00° | Yaw angle : -10.00° | Pitch_current : 1.10 A | Yaw_current : 8.75 A
Voltage : 11.01 V | Pitch angle : 64.50° | Yaw angle : -10.25° | Pitch_current : 1.39 A | Yaw_current : 8.38 A
Voltage : 10.63 V | Pitch angle : 63.75° | Yaw angle : -9.75° | Pitch_current : 3.90 A | Yaw_current : 8.27 A
Voltage : 11.39 V | Pitch angle : 63.00° | Yaw angle : -9.25° | Pitch_current : 5.62 A | Yaw_current : 4.55 A
Voltage : 9.09 V | Pitch angle : 62.25° | Yaw angle : -8.50° | Pitch_current : 11.65 A | Yaw_current : 4.99 A
Voltage : 8.66 V | Pitch angle : 62.50° | Yaw angle : -8.00° | Pitch_current : 11.46 A | Yaw_current : 8.25 A
Voltage : 10.61 V | Pitch angle : 63.00° | Yaw angle : -7.75° | Pitch_current : 4.69 A | Yaw_current : 7.17 A
Voltage : 10.81 V | Pitch angle : 63.50° | Yaw angle : -7.75° | Pitch_current : 4.75 A | Yaw_current : 9.11 A
Voltage : 11.75 V | Pitch angle : 63.50° | Yaw angle : -7.50° | Pitch_current : 1.15 A | Yaw_current : 9.08 A
Voltage : 11.70 V | Pitch angle : 63.50° | Yaw angle : -7.00° | Pitch_current : 1.04 A | Yaw_current : 8.36 A
Voltage : 11.80 V | Pitch angle : 63.25° | Yaw angle : -6.25° | Pitch_current : 2.16 A | Yaw_current : 7.85 A
Voltage : 11.72 V | Pitch angle : 62.75° | Yaw angle : -5.25° | Pitch_current : 1.91 A | Yaw_current : 5.37 A
Voltage : 9.57 V | Pitch angle : 62.25° | Yaw angle : -4.00° | Pitch_current : 8.16 A | Yaw_current : 5.17 A
Voltage : 10.40 V | Pitch angle : 62.00° | Yaw angle : -3.50° | Pitch_current : 7.55 A | Yaw_current : 5.18 A
Voltage : 10.78 V | Pitch angle : 62.50° | Yaw angle : -3.00° | Pitch_current : 8.14 A | Yaw_current : 4.96 A
Voltage : 9.85 V | Pitch angle : 63.00° | Yaw angle : -3.00° | Pitch_current : 6.43 A | Yaw_current : 7.01 A
Voltage : 12.63 V | Pitch angle : 63.50° | Yaw angle : -3.25° | Pitch_current : 1.20 A | Yaw_current : 6.18 A
Voltage : 12.71 V | Pitch angle : 63.50° | Yaw angle : -3.25° | Pitch_current : 1.21 A | Yaw_current : 6.47 A
Voltage : 12.86 V | Pitch angle : 63.25° | Yaw angle : -2.75° | Pitch_current : 1.20 A | Yaw_current : 7.04 A
Voltage : 12.83 V | Pitch angle : 63.00° | Yaw angle : -2.25° | Pitch_current : 1.36 A | Yaw_current : 4.54 A
Voltage : 10.86 V | Pitch angle : 62.75° | Yaw angle : -1.50° | Pitch_current : 6.02 A | Yaw_current : 4.59 A
Voltage : 11.64 V | Pitch angle : 62.75° | Yaw angle : -1.25° | Pitch_current : 5.63 A | Yaw_current : 5.05 A
Voltage : 12.38 V | Pitch angle : 62.75° | Yaw angle : -1.25° | Pitch_current : 3.72 A | Yaw_current : 4.76 A
Voltage : 12.02 V | Pitch angle : 62.75° | Yaw angle : -1.50° | Pitch_current : 3.89 A | Yaw_current : 5.31 A
Voltage : 12.61 V | Pitch angle : 62.75° | Yaw angle : -1.75° | Pitch_current : 2.60 A | Yaw_current : 5.64 A
Voltage : 12.43 V | Pitch angle : 62.75° | Yaw angle : -2.25° | Pitch_current : 2.75 A | Yaw_current : 6.08 A
Voltage : 11.82 V | Pitch angle : 62.75° | Yaw angle : -2.50° | Pitch_current : 2.52 A | Yaw_current : 6.19 A
Voltage : 11.52 V | Pitch angle : 62.75° | Yaw angle : -3.00° | Pitch_current : 2.46 A | Yaw_current : 6.69 A
Voltage : 11.27 V | Pitch angle : 62.75° | Yaw angle : -3.25° | Pitch_current : 2.59 A | Yaw_current : 7.01 A
Voltage : 11.37 V | Pitch angle : 62.50° | Yaw angle : -3.50° | Pitch_current : 2.77 A | Yaw_current : 6.51 A
Voltage : 11.37 V | Pitch angle : 62.50° | Yaw angle : -3.75° | Pitch_current : 3.82 A | Yaw_current : 7.33 A
Voltage : 10.89 V | Pitch angle : 62.50° | Yaw angle : -3.50° | Pitch_current : 3.65 A | Yaw_current : 7.67 A
