Voltage : 12.76 V | Pitch angle : 60.00° | Yaw angle : -3.50° | Pitch_current : 0.90 A | Yaw_current : 4.58 A
Voltage : 11.06 V | Pitch angle : 59.50° | Yaw angle : -2.75° | Pitch_current : 9.02 A | Yaw_current : 4.45 A
Voltage : 11.64 V | Pitch angle : 59.25° | Yaw angle : -2.50° | Pitch_current : 7.99 A | Yaw_current : 4.09 A
Voltage : 10.63 V | Pitch angle : 59.50° | Yaw angle : -2.75° | Pitch_current : 9.78 A | Yaw_current : 3.75 A
Voltage : 12.48 V | Pitch angle : 60.25° | Yaw angle : -3.25° | Pitch_current : 9.89 A | Yaw_current : 6.02 A
Voltage : 14.25 V | Pitch angle : 61.25° | Yaw angle : -4.25° | Pitch_current : 0.98 A | Yaw_current : 7.24 A
Voltage : 14.73 V | Pitch angle : 61.75° | Yaw angle : -4.75° | Pitch_current : 0.79 A | Yaw_current : 7.12 A
Voltage : 13.95 V | Pitch angle : 61.75° | Yaw angle : -5.25° | Pitch_current : 0.90 A | Yaw_current : 7.50 A
Voltage : 14.02 V | Pitch angle : 61.25° | Yaw angle : -5.25° | Pitch_current : 1.87 A | Yaw_current : 5.17 A
Voltage : 12.43 V | Pitch angle : 60.50° | Yaw angle : -5.00° | Pitch_current : 6.85 A | Yaw_current : 6.16 A
Voltage : 11.82 V | Pitch angle : 60.25° | Yaw angle : -5.00° | Pitch_current : 6.38 A | Yaw_current : 4.27 A
Voltage : 11.29 V | Pitch angle : 60.50° | Yaw angle : -5.50° | Pitch_current : 10.85 A | Yaw_current : 4.66 A
Voltage : 11.54 V | Pitch angle : 60.75° | Yaw angle : -6.25° | Pitch_current : 9.90 A | Yaw_current : 8.42 A
Voltage : 12.61 V | Pitch angle : 61.50° | Yaw angle : -7.25° | Pitch_current : 1.14 A | Yaw_current : 8.34 A
Voltage : 12.61 V | Pitch angle : 61.50° | Yaw angle : -7.75° | Pitch_current : 1.18 A | Yaw_current : 8.88 A
Voltage : 13.64 V | Pitch angle : 61.50° | Yaw angle : -8.00° | Pitch_current : 0.80 A | Yaw_current : 8.91 A
Voltage : 12.71 V | Pitch angle : 60.75° | Yaw angle : -7.25° | Pitch_current : 0.85 A | Yaw_current : 5.84 A
Voltage : 11.04 V | Pitch angle : 60.00° | Yaw angle : -6.25° | Pitch_current : 9.45 A | Yaw_current : 5.14 A
Voltage : 11.27 V | Pitch angle : 59.50° | Yaw angle : -5.50° | Pitch_current : 9.00 A | Yaw_current : 5.18 A
Voltage : 10.91 V | Pitch angle : 59.75° | Yaw angle : -4.75° | Pitch_current : 11.36 A | Yaw_current : 4.88 A
Voltage : 12.15 V | Pitch angle : 60.50° | Yaw angle : -4.50° | Pitch_current : 8.35 A | Yaw_current : 8.05 A
Voltage : 13.90 V | Pitch angle : 61.75° | Yaw angle : -4.50° | Pitch_current : 0.85 A | Yaw_current : 7.18 A
Voltage : 14.13 V | Pitch angle : 62.25° | Yaw angle : -4.25° | Pitch_current : 0.89 A | Yaw_current : 6.79 A
Voltage : 14.15 V | Pitch angle : 62.00° | Yaw angle : -4.00° | Pitch_current : 0.83 A | Yaw_current : 6.79 A
Voltage : 13.59 V | Pitch angle : 61.75° | Yaw angle : -3.25° | Pitch_current : 0.86 A | Yaw_current : 4.26 A
Voltage : 11.95 V | Pitch angle : 61.00° | Yaw angle : -2.50° | Pitch_current : 7.16 A | Yaw_current : 4.39 A
Voltage : 12.86 V | Pitch angle : 61.00° | Yaw angle : -2.25° | Pitch_current : 6.49 A | Yaw_current : 3.95 A
Voltage : 11.67 V | Pitch angle : 61.25° | Yaw angle : -2.00° | Pitch_current : 8.80 A | Yaw_current : 3.36 A
Voltage : 11.24 V | Pitch angle : 61.50° | Yaw angle : -2.50° | Pitch_current : 8.74 A | Yaw_current : 5.74 A
Voltage : 13.47 V | Pitch angle : 62.25° | Yaw angle : -3.25° | Pitch_current : 0.96 A | Yaw_current : 6.59 A
Voltage : 13.54 V | Pitch angle : 62.25° | Yaw angle : -3.75° | Pitch_current : 0.95 A | Yaw_current : 6.38 A
Voltage : 14.43 V | Pitch angle : 62.25° | Yaw angle : -4.00° | Pitch_current : 0.78 A | Yaw_current : 6.57 A
Voltage : 13.82 V | Pitch angle : 61.75° | Yaw angle : -3.75° | Pitch_current : 0.83 A | Yaw_current : 5.77 A
Voltage : 12.86 V | Pitch angle : 61.25° | Yaw angle : -3.50° | Pitch_current : 7.00 A | Yaw_current : 5.68 A
Voltage : 13.49 V | Pitch angle : 61.25° | Yaw angle : -3.50° | Pitch_current : 6.02 A | Yaw_current : 5.52 A
