Voltage : 10.10 V | Pitch angle : 55.50° | Yaw angle : 2.75° | Pitch_current : 6.00 A | Yaw_current : 6.40 A
Voltage : 10.63 V | Pitch angle : 55.50° | Yaw angle : 2.50° | Pitch_current : 5.54 A | Yaw_current : 6.98 A
Voltage : 10.18 V | Pitch angle : 55.50° | Yaw angle : 2.25° | Pitch_current : 5.30 A | Yaw_current : 7.32 A
Voltage : 9.72 V | Pitch angle : 55.50° | Yaw angle : 1.75° | Pitch_current : 5.15 A | Yaw_current : 7.63 A
Voltage : 9.42 V | Pitch angle : 55.75° | Yaw angle : 1.75° | Pitch_current : 5.18 A | Yaw_current : 8.25 A
Voltage : 10.02 V | Pitch angle : 55.75° | Yaw angle : 1.50° | Pitch_current : 3.43 A | Yaw_current : 8.84 A
Voltage : 10.13 V | Pitch angle : 55.75° | Yaw angle : 1.75° | Pitch_current : 3.84 A | Yaw_current : 7.68 A
Voltage : 10.91 V | Pitch angle : 55.75° | Yaw angle : 2.00° | Pitch_current : 5.43 A | Yaw_current : 7.56 A
Voltage : 10.48 V | Pitch angle : 55.75° | Yaw angle : 2.25° | Pitch_current : 5.11 A | Yaw_current : 6.83 A
Voltage : 10.48 V | Pitch angle : 56.00° | Yaw angle : 2.50° | Pitch_current : 5.04 A | Yaw_current : 6.68 A
Voltage : 9.59 V | Pitch angle : 56.25° | Yaw angle : 2.75° | Pitch_current : 5.78 A | Yaw_current : 7.12 A
Voltage : 11.77 V | Pitch angle : 56.50° | Yaw angle : 2.75° | Pitch_current : 2.72 A | Yaw_current : 6.79 A
Voltage : 12.08 V | Pitch angle : 56.50° | Yaw angle : 3.00° | Pitch_current : 2.97 A | Yaw_current : 5.78 A
Voltage : 11.90 V | Pitch angle : 56.50° | Yaw angle : 3.00° | Pitch_current : 3.89 A | Yaw_current : 5.13 A
Voltage : 11.47 V | Pitch angle : 56.50° | Yaw angle : 3.00° | Pitch_current : 3.84 A | Yaw_current : 4.54 A
Voltage : 11.90 V | Pitch angle : 56.50° | Yaw angle : 2.75° | Pitch_current : 5.94 A | Yaw_current : 3.91 A
Voltage : 11.72 V | Pitch angle : 56.50° | Yaw angle : 2.50° | Pitch_current : 5.63 A | Yaw_current : 4.47 A
Voltage : 11.27 V | Pitch angle : 56.50° | Yaw angle : 2.00° | Pitch_current : 5.57 A | Yaw_current : 4.90 A
Voltage : 11.49 V | Pitch angle : 56.50° | Yaw angle : 1.50° | Pitch_current : 4.86 A | Yaw_current : 5.81 A
Voltage : 10.86 V | Pitch angle : 56.50° | Yaw angle : 1.00° | Pitch_current : 5.02 A | Yaw_current : 6.68 A
Voltage : 9.70 V | Pitch angle : 56.50° | Yaw angle : 0.50° | Pitch_current : 4.93 A | Yaw_current : 6.72 A
Voltage : 10.96 V | Pitch angle : 56.50° | Yaw angle : 0.25° | Pitch_current : 4.81 A | Yaw_current : 7.53 A
Voltage : 10.33 V | Pitch angle : 56.50° | Yaw angle : 0.00° | Pitch_current : 4.63 A | Yaw_current : 7.63 A
Voltage : 10.73 V | Pitch angle : 56.50° | Yaw angle : 0.00° | Pitch_current : 4.70 A | Yaw_current : 7.97 A
