Voltage : 12.83 V | Pitch angle : 66.25° | Yaw angle : 0.50° | Pitch_current : 0.76 A | Yaw_current : 5.78 A
Voltage : 12.86 V | Pitch angle : 65.50° | Yaw angle : 1.50° | Pitch_current : 2.13 A | Yaw_current : 5.25 A
Voltage : 13.67 V | Pitch angle : 64.50° | Yaw angle : 1.25° | Pitch_current : 2.19 A | Yaw_current : 3.37 A
Voltage : 10.71 V | Pitch angle : 63.50° | Yaw angle : 2.50° | Pitch_current : 12.52 A | Yaw_current : 2.70 A
Voltage : 11.32 V | Pitch angle : 63.50° | Yaw angle : 2.50° | Pitch_current : 11.26 A | Yaw_current : 3.29 A
Voltage : 11.70 V | Pitch angle : 64.00° | Yaw angle : 2.75° | Pitch_current : 7.96 A | Yaw_current : 3.26 A
Voltage : 12.96 V | Pitch angle : 65.25° | Yaw angle : 2.00° | Pitch_current : 6.29 A | Yaw_current : 5.31 A
Voltage : 14.71 V | Pitch angle : 66.75° | Yaw angle : 2.25° | Pitch_current : 0.79 A | Yaw_current : 5.49 A
Voltage : 15.70 V | Pitch angle : 67.50° | Yaw angle : 2.75° | Pitch_current : 0.72 A | Yaw_current : 4.85 A
Voltage : 14.81 V | Pitch angle : 67.25° | Yaw angle : 2.50° | Pitch_current : 0.76 A | Yaw_current : 4.44 A
Voltage : 14.96 V | Pitch angle : 67.00° | Yaw angle : 2.50° | Pitch_current : 0.74 A | Yaw_current : 3.76 A
Voltage : 14.66 V | Pitch angle : 66.25° | Yaw angle : 3.25° | Pitch_current : 1.90 A | Yaw_current : 3.61 A
Voltage : 14.00 V | Pitch angle : 65.75° | Yaw angle : 3.50° | Pitch_current : 1.93 A | Yaw_current : 2.25 A
Voltage : 12.13 V | Pitch angle : 65.50° | Yaw angle : 3.25° | Pitch_current : 9.09 A | Yaw_current : 2.16 A
Voltage : 12.73 V | Pitch angle : 65.75° | Yaw angle : 3.00° | Pitch_current : 8.35 A | Yaw_current : 3.78 A
Voltage : 13.57 V | Pitch angle : 66.00° | Yaw angle : 3.75° | Pitch_current : 0.75 A | Yaw_current : 4.24 A
Voltage : 13.77 V | Pitch angle : 65.75° | Yaw angle : 3.75° | Pitch_current : 0.81 A | Yaw_current : 3.88 A
Voltage : 13.90 V | Pitch angle : 65.75° | Yaw angle : 3.75° | Pitch_current : 0.76 A | Yaw_current : 3.40 A
Voltage : 14.30 V | Pitch angle : 65.50° | Yaw angle : 4.50° | Pitch_current : 0.80 A | Yaw_current : 2.97 A
Voltage : 14.40 V | Pitch angle : 65.50° | Yaw angle : 4.50° | Pitch_current : 1.72 A | Yaw_current : 2.65 A
Voltage : 14.33 V | Pitch angle : 65.50° | Yaw angle : 4.50° | Pitch_current : 1.71 A | Yaw_current : 2.55 A
Voltage : 14.53 V | Pitch angle : 65.50° | Yaw angle : 4.25° | Pitch_current : 0.85 A | Yaw_current : 2.41 A
Voltage : 15.37 V | Pitch angle : 65.50° | Yaw angle : 4.75° | Pitch_current : 0.89 A | Yaw_current : 2.11 A
Voltage : 15.16 V | Pitch angle : 65.50° | Yaw angle : 5.25° | Pitch_current : 0.91 A | Yaw_current : 1.89 A
Voltage : 15.29 V | Pitch angle : 65.25° | Yaw angle : 5.75° | Pitch_current : 1.08 A | Yaw_current : 1.60 A
Voltage : 14.86 V | Pitch angle : 64.75° | Yaw angle : 6.25° | Pitch_current : 2.09 A | Yaw_current : 1.50 A
Voltage : 14.45 V | Pitch angle : 64.50° | Yaw angle : 6.25° | Pitch_current : 2.02 A | Yaw_current : 0.93 A
Voltage : 13.09 V | Pitch angle : 64.25° | Yaw angle : 6.25° | Pitch_current : 6.71 A | Yaw_current : 0.90 A
Voltage : 13.54 V | Pitch angle : 64.25° | Yaw angle : 6.75° | Pitch_current : 6.10 A | Yaw_current : 1.05 A
Voltage : 13.72 V | Pitch angle : 64.25° | Yaw angle : 6.75° | Pitch_current : 2.60 A | Yaw_current : 0.85 A
Voltage : 13.75 V | Pitch angle : 64.25° | Yaw angle : 6.50° | Pitch_current : 2.65 A | Yaw_current : 0.97 A
Voltage : 14.18 V | Pitch angle : 64.25° | Yaw angle : 6.25° | Pitch_current : 1.48 A | Yaw_current : 1.16 A
Voltage : 14.00 V | Pitch angle : 64.25° | Yaw angle : 6.25° | Pitch_current : 1.52 A | Yaw_current : 1.32 A
Voltage : 13.44 V | Pitch angle : 64.25° | Yaw angle : 6.25° | Pitch_current : 1.50 A | Yaw_current : 1.47 A
Voltage : 13.85 V | Pitch angle : 64.25° | Yaw angle : 6.50° | Pitch_current : 1.44 A | Yaw_current : 1.42 A
Voltage : 13.34 V | Pitch angle : 64.25° | Yaw angle : 5.50° | Pitch_current : 1.60 A | Yaw_current : 1.28 A
Voltage : 13.82 V | Pitch angle : 64.25° | Yaw angle : 5.25° | Pitch_current : 1.46 A | Yaw_current : 1.26 A
Voltage : 14.25 V | Pitch angle : 64.25° | Yaw angle : 5.50° | Pitch_current : 1.49 A | Yaw_current : 1.50 A
Voltage : 14.43 V | Pitch angle : 64.25° | Yaw angle : 5.50° | Pitch_current : 1.46 A | Yaw_current : 1.37 A
Voltage : 14.48 V | Pitch angle : 64.25° | Yaw angle : 5.50° | Pitch_current : 1.59 A | Yaw_current : 1.16 A
Voltage : 15.01 V | Pitch angle : 64.25° | Yaw angle : 5.25° | Pitch_current : 1.48 A | Yaw_current : 1.42 A
Voltage : 15.01 V | Pitch angle : 64.25° | Yaw angle : 5.25° | Pitch_current : 1.51 A | Yaw_current : 1.51 A
Voltage : 14.91 V | Pitch angle : 64.25° | Yaw angle : 5.25° | Pitch_current : 1.43 A | Yaw_current : 1.40 A
Voltage : 15.24 V | Pitch angle : 64.25° | Yaw angle : 5.25° | Pitch_current : 1.54 A | Yaw_current : 1.13 A
Voltage : 15.09 V | Pitch angle : 64.25° | Yaw angle : 5.50° | Pitch_current : 1.56 A | Yaw_current : 1.01 A
Voltage : 14.73 V | Pitch angle : 64.25° | Yaw angle : 5.75° | Pitch_current : 1.57 A | Yaw_current : 0.90 A
Voltage : 14.63 V | Pitch angle : 64.25° | Yaw angle : 6.50° | Pitch_current : 1.52 A | Yaw_current : 0.75 A
Voltage : 14.28 V | Pitch angle : 64.25° | Yaw angle : 6.25° | Pitch_current : 1.54 A | Yaw_current : 0.75 A
Voltage : 14.35 V | Pitch angle : 64.25° | Yaw angle : 6.50° | Pitch_current : 1.56 A | Yaw_current : 0.76 A
Voltage : 14.05 V | Pitch angle : 64.25° | Yaw angle : 6.75° | Pitch_current : 1.52 A | Yaw_current : 0.75 A
Voltage : 13.97 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.60 A | Yaw_current : 0.73 A
Voltage : 13.87 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.55 A | Yaw_current : 0.79 A
