Voltage (V) | Pitch angle  | Yaw angle | Pitch_current  | Yaw_current | Yaw_ESC_Signal | Pitch_ESC_Signal
12.58  | 57.50° | 2.00° | 5.17 | 3.10 | 1129 µs | 1138 µs
12.61  | 57.50° | 2.25° | 5.09 | 3.57 | 1138 µs | 1138 µs
12.30  | 57.50° | 2.25° | 4.97 | 3.12 | 1129 µs | 1138 µs
11.57  | 57.50° | 2.25° | 5.04 | 2.81 | 1119 µs | 1138 µs
12.38  | 57.50° | 2.25° | 5.25 | 3.15 | 1129 µs | 1138 µs
11.92  | 57.50° | 2.25° | 5.02 | 3.37 | 1132 µs | 1138 µs
11.97  | 57.50° | 2.25° | 4.99 | 3.26 | 1132 µs | 1138 µs
12.13  | 57.50° | 2.25° | 4.90 | 3.31 | 1132 µs | 1138 µs
12.38  | 57.50° | 2.00° | 4.84 | 3.79 | 1142 µs | 1138 µs
11.75  | 57.50° | 2.00° | 4.78 | 4.21 | 1151 µs | 1138 µs
11.44  | 57.50° | 2.00° | 4.79 | 3.87 | 1142 µs | 1138 µs
11.82  | 57.50° | 2.25° | 5.09 | 3.53 | 1138 µs | 1138 µs
12.28  | 57.50° | 2.25° | 4.84 | 3.01 | 1129 µs | 1138 µs
11.57  | 57.50° | 2.25° | 5.05 | 2.59 | 1119 µs | 1138 µs
12.58  | 57.50° | 2.25° | 5.10 | 3.03 | 1129 µs | 1138 µs
12.18  | 57.50° | 2.25° | 4.89 | 3.28 | 1132 µs | 1138 µs
12.13  | 57.50° | 2.25° | 5.10 | 3.27 | 1132 µs | 1138 µs
12.28  | 57.50° | 2.25° | 4.91 | 3.41 | 1132 µs | 1138 µs
12.05  | 57.50° | 2.25° | 5.08 | 3.41 | 1132 µs | 1138 µs
11.77  | 57.50° | 2.25° | 5.11 | 3.37 | 1132 µs | 1138 µs
12.43  | 57.50° | 2.00° | 4.97 | 3.72 | 1142 µs | 1138 µs
12.33  | 57.50° | 2.00° | 5.19 | 4.20 | 1151 µs | 1138 µs
12.10  | 57.50° | 2.25° | 4.67 | 3.81 | 1142 µs | 1138 µs
12.45  | 57.50° | 2.25° | 4.92 | 3.29 | 1132 µs | 1138 µs
12.48  | 57.50° | 2.25° | 5.09 | 3.15 | 1132 µs | 1138 µs
12.28  | 57.50° | 2.25° | 4.91 | 3.40 | 1132 µs | 1138 µs
12.33  | 57.50° | 2.00° | 5.06 | 3.70 | 1142 µs | 1138 µs
11.90  | 57.50° | 2.00° | 4.66 | 4.22 | 1151 µs | 1138 µs
12.15  | 57.50° | 2.25° | 4.90 | 3.84 | 1142 µs | 1138 µs
12.35  | 57.50° | 2.25° | 4.77 | 3.28 | 1132 µs | 1138 µs
12.18  | 57.50° | 2.25° | 5.01 | 3.39 | 1132 µs | 1138 µs
12.61  | 57.50° | 2.25° | 5.31 | 3.39 | 1132 µs | 1138 µs
12.25  | 57.50° | 2.25° | 5.14 | 3.31 | 1132 µs | 1138 µs
12.48  | 57.50° | 2.25° | 5.10 | 3.44 | 1132 µs | 1138 µs
11.77  | 57.50° | 2.00° | 4.83 | 3.96 | 1142 µs | 1138 µs
12.15  | 57.50° | 2.00° | 4.76 | 4.48 | 1151 µs | 1138 µs
11.16  | 57.50° | 2.00° | 4.79 | 3.61 | 1142 µs | 1138 µs
12.08  | 57.50° | 2.25° | 5.04 | 3.57 | 1138 µs | 1138 µs
11.37  | 57.50° | 2.25° | 5.11 | 3.35 | 1129 µs | 1138 µs
11.87  | 57.50° | 2.25° | 5.28 | 2.70 | 1119 µs | 1138 µs
12.25  | 57.50° | 2.25° | 5.17 | 3.19 | 1129 µs | 1138 µs
12.20  | 57.50° | 2.00° | 5.53 | 3.54 | 1132 µs | 1138 µs
12.43  | 57.50° | 2.00° | 5.11 | 4.03 | 1142 µs | 1138 µs
12.00  | 57.50° | 2.00° | 4.76 | 4.12 | 1151 µs | 1138 µs
12.23  | 57.50° | 2.00° | 5.12 | 4.14 | 1142 µs | 1138 µs
11.75  | 57.50° | 2.00° | 4.90 | 3.64 | 1138 µs | 1138 µs
12.28  | 57.50° | 2.00° | 4.81 | 3.68 | 1138 µs | 1138 µs
12.33  | 57.50° | 2.00° | 4.93 | 3.72 | 1138 µs | 1138 µs
11.85  | 57.50° | 2.00° | 4.96 | 3.75 | 1138 µs | 1138 µs
12.28  | 57.50° | 2.25° | 4.76 | 3.66 | 1138 µs | 1138 µs
12.43  | 57.50° | 2.25° | 5.04 | 3.38 | 1129 µs | 1138 µs
12.43  | 57.50° | 2.25° | 5.08 | 2.81 | 1119 µs | 1138 µs
12.25  | 57.50° | 2.25° | 5.05 | 3.30 | 1129 µs | 1138 µs
12.43  | 57.50° | 2.00° | 4.98 | 3.47 | 1132 µs | 1138 µs
12.30  | 57.50° | 2.00° | 5.35 | 4.07 | 1142 µs | 1138 µs
12.08  | 57.50° | 2.00° | 4.71 | 4.15 | 1151 µs | 1138 µs
12.10  | 57.50° | 2.00° | 4.45 | 3.86 | 1142 µs | 1138 µs
12.25  | 57.50° | 2.00° | 4.86 | 3.51 | 1138 µs | 1138 µs
12.30  | 57.50° | 2.25° | 4.99 | 3.00 | 1129 µs | 1138 µs
